Date,F107
2024-01-01,134.76666666666665
2024-01-02,141.73333333333332
2024-01-03,138.4
2024-01-04,140.83333333333334
2024-01-05,150.63333333333333
2024-01-06,159.93333333333334
2024-01-07,169.4333333333333
2024-01-08,173.83333333333334
2024-01-09,174.23333333333335
2024-01-10,187.36666666666667
2024-01-11,189.53333333333333
2024-01-12,186.70000000000002
2024-01-13,184.86666666666667
2024-01-14,186.29999999999998
2024-01-15,182.66666666666666
2024-01-16,178.36666666666667
2024-01-17,173.66666666666666
2024-01-18,163.1
2024-01-19,157.4
2024-01-20,165.20000000000002
2024-01-21,177.13333333333333
2024-01-22,195.26666666666665
2024-01-23,182.16666666666666
2024-01-24,173.86666666666667
2024-01-25,160.03333333333333
2024-01-26,156.13333333333333
2024-01-27,148.5
2024-01-28,140.76666666666665
2024-01-29,139.73333333333335
2024-01-30,134.86666666666667
2024-01-31,136.26666666666665
2024-02-01,136.5666666666667
2024-02-02,144.9
2024-02-03,157.43333333333334
2024-02-04,169.46666666666667
2024-02-05,174.6
2024-02-06,184.63333333333333
2024-02-07,188.5
2024-02-08,184.5666666666667
2024-02-09,184.96666666666667
2024-02-10,192.96666666666667
2024-02-11,182.63333333333333
2024-02-12,209.33333333333334
2024-02-13,192.6
2024-02-14,184.66666666666666
2024-02-15,176.1
2024-02-16,168.43333333333334
2024-02-17,166.0666666666667
2024-02-18,155.96666666666667
2024-02-19,152.36666666666667
2024-02-20,153.29999999999998
2024-02-21,167.16666666666666
2024-02-22,174.63333333333333
2024-02-23,178.63333333333333
2024-02-24,179.63333333333333
2024-02-25,186.79999999999998
2024-02-26,169.29999999999998
2024-02-27,167.86666666666667
2024-02-28,176.5666666666667
2024-02-29,164.53333333333333
2024-03-01,154.16666666666666
2024-03-02,152.70000000000002
2024-03-03,145.36666666666667
2024-03-04,141.5
2024-03-05,142.0666666666667
2024-03-06,136.5
2024-03-07,136.1
2024-03-08,130.1
2024-03-09,134.16666666666666
2024-03-10,128.16666666666666
2024-03-11,126.56666666666666
2024-03-12,130.33333333333334
2024-03-13,128.9
2024-03-14,128.36666666666667
2024-03-15,130.26666666666668
2024-03-16,143.0
2024-03-17,153.0666666666667
2024-03-18,171.29999999999998
2024-03-19,167.76666666666668
2024-03-20,178.23333333333335
2024-03-21,189.20000000000002
2024-03-22,197.0
2024-03-23,205.73333333333335
2024-03-24,198.4
2024-03-25,191.83333333333334
2024-03-26,177.16666666666666
2024-03-27,174.26666666666665
2024-03-28,173.53333333333333
2024-03-29,165.26666666666668
2024-03-30,147.9
2024-03-31,132.1
2024-04-01,120.03333333333335
2024-04-02,113.16666666666667
2024-04-03,111.33333333333333
2024-04-04,114.03333333333335
2024-04-05,120.66666666666667
2024-04-06,122.83333333333333
2024-04-07,125.03333333333335
2024-04-08,124.60000000000001
2024-04-09,124.26666666666667
2024-04-10,130.96666666666667
2024-04-11,145.20000000000002
2024-04-12,153.43333333333334
2024-04-13,162.03333333333333
2024-04-14,179.5666666666667
2024-04-15,189.9
2024-04-16,199.6
2024-04-17,218.9
2024-04-18,221.9
2024-04-19,217.4333333333333
2024-04-20,213.1
2024-04-21,213.4333333333333
2024-04-22,226.46666666666667
2024-04-23,221.03333333333333
2024-04-24,197.46666666666667
2024-04-25,167.6
2024-04-26,151.70000000000002
2024-04-27,152.9
2024-04-28,142.4
2024-04-29,136.4
2024-04-30,133.66666666666666
2024-05-01,135.73333333333335
2024-05-02,141.83333333333334
2024-05-03,157.23333333333332
2024-05-04,165.03333333333333
2024-05-05,174.86666666666667
2024-05-06,181.13333333333333
2024-05-07,205.36666666666667
2024-05-08,231.29999999999998
2024-05-09,228.0
2024-05-10,222.9
2024-05-11,227.5
2024-05-12,222.4333333333333
2024-05-13,215.1
2024-05-14,213.13333333333333
2024-05-15,211.73333333333335
2024-05-16,207.03333333333333
2024-05-17,207.5666666666667
2024-05-18,193.9666666666667
2024-05-19,198.9
2024-05-20,194.0666666666667
2024-05-21,191.5
2024-05-22,194.4
2024-05-23,177.9333333333333
2024-05-24,163.83333333333334
2024-05-25,153.36666666666667
